127.0.0.1 - - [16/Sep/2022:12:14:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:14:27 +0530] "GET /MiniProject/login.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:14:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:14:34 +0530] "POST /MiniProject/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:14:37 +0530] "GET /MiniProject/admin/admin.jsp?msg=valid HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:14:48 +0530] "GET /MiniProject/admin/addProduct.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:17:27 +0530] "GET /MiniProject/admin/addProduct.jsp HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:17:56 +0530] "GET /MiniProject/admin/addProduct.jsp HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:19:31 +0530] "GET /MiniProject/admin/addProduct.jsp HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:19:43 +0530] "GET /MiniProject/admin/addProduct.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:20:21 +0530] "GET /MiniProject/admin/addProduct.jsp HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [16/Sep/2022:12:20:47 +0530] "POST /MiniProject/admin/MenuServlet HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [16/Sep/2022:13:05:24 +0530] "GET /MiniProject/login.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [16/Sep/2022:13:05:31 +0530] "POST /MiniProject/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:13:05:32 +0530] "GET /MiniProject/menu/menuList.jsp?msg=valid HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [16/Sep/2022:13:06:42 +0530] "GET /MiniProject/menu/menuList.jsp?msg=valid HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [16/Sep/2022:13:07:12 +0530] "GET /MiniProject/menu/menuList.jsp?msg=valid HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [16/Sep/2022:13:07:32 +0530] "GET /MiniProject/menu/menuList.jsp?msg=valid HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [16/Sep/2022:13:08:49 +0530] "GET /MiniProject/menu/menuList.jsp?msg=valid HTTP/1.1" 200 2834
0:0:0:0:0:0:0:1 - - [16/Sep/2022:13:11:20 +0530] "GET /MiniProject/menu/menuList.jsp?msg=valid HTTP/1.1" 200 4154
